method,category,item,points,max_points,status,evidence
CadQuery,concept_layout,overall W1680 D650 H1800 envelope,6,6,pass,"measured bbox=[1680.0, 650.0, 1800.0], expected=[1680.0, 650.0, 1800.0], tolerance=1mm"
CadQuery,concept_layout,D290 upper storage set back from front,5,5,pass,"upper_front_y=360.0, upper_door_y=344.0, upper_back_y=644.0"
CadQuery,concept_layout,counter H900 and D450 work deck,4,4,pass,"counter_top_height=900.0, counter_depth=450.0"
CadQuery,concept_layout,three open trash bays with 45L-class clearance,5,5,pass,"columns=3, clear_each=520.0x600.0x740.0"
CadQuery,concept_layout,rear pegboard position above counter,3,3,pass,"pegboard_y=644.0, peg_holes=75"
CadQuery,concept_layout,no positive-volume part overlaps,2,2,pass,positive_overlap_pairs=0
CadQuery,visual_detail,upper two-door face and internal shelves,3,4,partial,"two slab doors and shelves exist, but hinges and pull hardware are simplified"
CadQuery,visual_detail,"pegboard, outlet, slide cover, and towel zone",4,6,partial,"peg_holes=75, outlet_parts=4, towel_parts=5"
CadQuery,visual_detail,counter appliances and small morning objects,3,7,partial,"toaster/kettle/mug/glass/plant placeholders exist, but curved bodies are box approximations"
CadQuery,visual_detail,"three colored bins, lids, and front labels",4,6,partial,"green/blue/gray bins and symbolic labels exist, but printed Japanese label graphics are not reproduced"
CadQuery,visual_detail,materials and color palette,3,5,partial,"rendered screenshot metrics: unique_color_sample=1753, nonwhite_ratio=0.4037; flat colors are present but wood grain/fabric texture are not modeled"
CadQuery,visual_detail,"fine hardware, labels, curves, and fabric realism",0,5,fail,"box-primitive CAD does not reproduce rounded appliances, cloth folds, exact icons, or detailed metal fittings"
CadQuery,visual_detail,overall catalog silhouette readability,2,2,pass,"rendered screenshot metrics: edge_density=0.0689, nonwhite_ratio=0.4037; silhouette is readable but still simplified"
CadQuery,cad_output,source file and manifest reproducibility,5,5,pass,"source=True, manifest=True"
CadQuery,cad_output,mesh exports,5,5,pass,"stl=True, obj=True"
CadQuery,cad_output,STEP/native exchange output,5,5,pass,step=True
CadQuery,cad_output,measured mesh bbox and volume checks,5,5,pass,"bbox_pass=True, volume_pass=True"
CadQuery,cad_output,watertight mesh,3,3,pass,watertight_any=True
CadQuery,cad_output,measurement completed without parser error,2,2,pass,"mesh_checks=2, measurement_error=None"
